City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
380,de aar,-30.6497,24.0123,17.53,43,22,2.63,ZA,1683559827
381,bocas del toro,9.3333,-82.25,27.8,61,53,2.23,PA,1683559827
382,georgievka,49.3314,81.5761,15.54,42,0,1.08,KZ,1683559828
383,mount isa,-20.7333,139.5,13.87,21,11,5.14,AU,1683559828
384,carnarvon,-24.8667,113.6333,23.19,74,68,3.72,AU,1683559829
385,ust'-kulom,61.6864,53.6902,1.87,64,79,1.8,RU,1683559829
386,bel ombre,-4.6167,55.4167,28.91,74,40,6.17,SC,1683559830
387,mende,44.6667,3.5,13.31,62,100,4.28,FR,1683559831
388,mont-roig del camp,41.75,1.1833,25.76,26,98,4.13,ES,1683559832
389,maryborough,-25.5333,152.7,7.48,43,0,2.37,AU,1683559832
390,kone,-21.0595,164.8658,21.56,90,100,1.65,NC,1683559832
391,waddan,29.1614,16.139,34.67,12,12,5.7,LY,1683559833
392,carbonear,47.7332,-53.2148,12.91,68,98,8.07,CA,1683559833
393,castillos,-34.1667,-53.8333,20.84,52,25,5.68,UY,1683559833
394,south hedland,-20.4089,118.5983,22.96,49,9,3.09,AU,1683559834
395,hammerfest,70.6634,23.6821,1.25,93,75,2.57,NO,1683559834
396,aars,56.804,9.5144,17.1,62,81,7.47,DK,1683559834
397,sebis,46.3667,22.1167,13.15,75,52,4.36,RO,1683559835
398,flying fish cove,-10.4217,105.6791,26.82,89,75,4.63,CX,1683559835
399,pirae,-17.5167,-149.5333,25.01,88,75,3.6,PF,1683559835
400,saint george's,12.0564,-61.7485,29.82,74,20,10.29,GD,1683559835
401,akureyri,65.6835,-18.0878,10.96,66,75,6.17,IS,1683559835
402,jiujiang,29.7333,115.9833,16.25,64,53,3.62,CN,1683559836
403,sarmiento,-45.5882,-69.07,11.8,36,53,4.69,AR,1683559836
404,vokhtoga,58.8147,41.0461,7.0,68,92,1.92,RU,1683559836
405,rondonopolis,-16.4708,-54.6356,33.6,31,20,2.89,BR,1683559836
406,la'ie,21.6477,-157.9253,23.39,75,8,3.58,US,1683559837
407,mareeba,-17.0,145.4333,21.4,88,24,0.87,AU,1683559837
408,asaka,35.8047,139.6019,13.89,56,100,2.86,JP,1683559837
409,karanlukh,40.1044,45.2897,8.48,73,49,3.91,AM,1683559837
